benchmark_sequence,original_sequence,filename,scenario_kind,expected_valid_payloads,expected_false_payloads,actual_raw_detected_payloads,actual_accepted_payloads,actual_rejected_payloads,expected_position,actual_position,expected_items,actual_items,detection_result,domain_result,expected_domain_outcome,pipeline_error,scanner_processing_ms,detection_detail,domain_detail
12,242,242_multi_mixed.jpg,multi_mixed,ASP-A05-B01-P03-R,BAD0002,ASP-A05-B01-P03-R|BAD0002,,,ASP-A05-B01-P03-R,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,395,,missing=1
13,86,086_item.jpg,item,ASI-SC7H2F|60,,ASI-SC7H2F|60,ASI-SC7H2F|60,,,,ASI-SC7H2F|60,ASI-SC7H2F|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,389,,
14,4,004_position.jpg,position,ASP-A01-B01-P02-R,,ASP-A01-B01-P02-R,ASP-A01-B01-P02-R,,ASP-A01-B01-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,249,,
15,87,087_item.jpg,item,ASI-UZNECQ|15,,ASI-UZNECQ|15,ASI-UZNECQ|15,,,,ASI-UZNECQ|15,ASI-UZNECQ|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,283,,
16,272,272_multi_false.jpg,multi_false,,X0033|BAD0034,X0033|BAD0034,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,360,,
17,5,005_position.jpg,position,ASP-A01-B01-P03-L,,ASP-A01-B01-P03-L,ASP-A01-B01-P03-L,,ASP-A01-B01-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,310,,
18,88,088_item.jpg,item,ASI-FQG2T7|20,,ASI-FQG2T7|20,ASI-FQG2T7|20,,,,ASI-FQG2T7|20,ASI-FQG2T7|20,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,308,,
19,212,212_multi_true.jpg,multi_true,ASP-A03-B04-P02-R|ASI-6YV5S7|15,,ASP-A03-B04-P02-R|ASI-6YV5S7|15,ASI-6YV5S7|15,,ASP-A03-B04-P02-R,,ASI-6YV5S7|15,ASI-6YV5S7|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,312,,
20,89,089_item.jpg,item,ASI-LZYPTE|96,,ASI-LZYPTE|96,ASI-LZYPTE|96,,,,ASI-LZYPTE|96,ASI-LZYPTE|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,269,,
21,6,006_position.jpg,position,ASP-A01-B01-P03-R,,ASP-A01-B01-P03-R,ASP-A01-B01-P03-R,,ASP-A01-B01-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,325,,
22,90,090_item.jpg,item,ASI-LRL72T|60,,ASI-LRL72T|60,ASI-LRL72T|60,,,,ASI-LRL72T|60,ASI-LRL72T|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,257,,
23,243,243_multi_mixed.jpg,multi_mixed,ASI-XH4Y5D|15,POSX0003,ASI-XH4Y5D|15|POSX0003,ASI-XH4Y5D|15,,,,ASI-XH4Y5D|15,ASI-XH4Y5D|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,349,,
24,7,007_position.jpg,position,ASP-A01-B02-P01-L,,ASP-A01-B02-P01-L,ASP-A01-B02-P01-L,,ASP-A01-B02-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,283,,
25,91,091_item.jpg,item,ASI-QWDQCW|24,,ASI-QWDQCW|24,ASI-QWDQCW|24,,,,ASI-QWDQCW|24,ASI-QWDQCW|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,392,,
26,273,273_multi_false.jpg,multi_false,,POSX0035|FAKE0036,POSX0035|FAKE0036,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,318,,
27,92,092_item.jpg,item,ASI-TEPWP9|24,,ASI-TEPWP9|24,ASI-TEPWP9|24,,,,ASI-TEPWP9|24,ASI-TEPWP9|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,241,,
28,8,008_position.jpg,position,ASP-A01-B02-P01-R,,ASP-A01-B02-P01-R,ASP-A01-B02-P01-R,,ASP-A01-B02-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,308,,
29,93,093_item.jpg,item,ASI-7KSJRS|72,,ASI-7KSJRS|72,ASI-7KSJRS|72,,,,ASI-7KSJRS|72,ASI-7KSJRS|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,406,,
30,213,213_multi_true.jpg,multi_true,ASP-A03-B04-P03-L|ASI-N28GR2|72,,ASP-A03-B04-P03-L|ASI-N28GR2|72,ASI-N28GR2|72,,ASP-A03-B04-P03-L,,ASI-N28GR2|72,ASI-N28GR2|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,362,,
31,94,094_item.jpg,item,ASI-53ZQJ9|3,,ASI-53ZQJ9|3,ASI-53ZQJ9|3,,,,ASI-53ZQJ9|3,ASI-53ZQJ9|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,245,,
32,244,244_multi_mixed.jpg,multi_mixed,ASP-A05-B02-P01-L,FAKE0004,ASP-A05-B02-P01-L|FAKE0004,,,ASP-A05-B02-P01-L,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,335,,missing=1
33,9,009_position.jpg,position,ASP-A01-B02-P02-L,,ASP-A01-B02-P02-L,ASP-A01-B02-P02-L,,ASP-A01-B02-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,325,,
34,95,095_item.jpg,item,ASI-DHKL5E|24,,ASI-DHKL5E|24,ASI-DHKL5E|24,,,,ASI-DHKL5E|24,ASI-DHKL5E|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,250,,
35,274,274_multi_false.jpg,multi_false,,X0037|BAD0038,X0037|BAD0038,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,446,,
36,10,010_position.jpg,position,ASP-A01-B02-P02-R,,ASP-A01-B02-P02-R,ASP-A01-B02-P02-R,,ASP-A01-B02-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,328,,
37,96,096_item.jpg,item,ASI-27SAHT|18,,ASI-27SAHT|18,ASI-27SAHT|18,,,,ASI-27SAHT|18,ASI-27SAHT|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,272,,
38,97,097_item.jpg,item,ASI-HU5L7A|12,,ASI-HU5L7A|12,ASI-HU5L7A|12,,,,ASI-HU5L7A|12,ASI-HU5L7A|12,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,251,,
39,214,214_multi_true.jpg,multi_true,ASP-A03-B04-P03-R|ASI-YUUB3T|1,,ASP-A03-B04-P03-R|ASI-YUUB3T|1,ASI-YUUB3T|1,,ASP-A03-B04-P03-R,,ASI-YUUB3T|1,ASI-YUUB3T|1,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,412,,
40,11,011_position.jpg,position,ASP-A01-B02-P03-L,,ASP-A01-B02-P03-L,ASP-A01-B02-P03-L,,ASP-A01-B02-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,321,,
41,98,098_item.jpg,item,ASI-MGVNKZ|6,,ASI-MGVNKZ|6,ASI-MGVNKZ|6,,,,ASI-MGVNKZ|6,ASI-MGVNKZ|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,268,,
42,245,245_multi_mixed.jpg,multi_mixed,ASI-VYGPK8|10,X0005,ASI-VYGPK8|10|X0005,ASI-VYGPK8|10,,,,ASI-VYGPK8|10,ASI-VYGPK8|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,389,,
43,99,099_item.jpg,item,ASI-AW9BHZ|15,,ASI-AW9BHZ|15,ASI-AW9BHZ|15,,,,ASI-AW9BHZ|15,ASI-AW9BHZ|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,393,,
44,12,012_position.jpg,position,ASP-A01-B02-P03-R,,ASP-A01-B02-P03-R,ASP-A01-B02-P03-R,,ASP-A01-B02-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,243,,
45,100,100_item.jpg,item,ASI-RDRFF9|3,,ASI-RDRFF9|3,ASI-RDRFF9|3,,,,ASI-RDRFF9|3,ASI-RDRFF9|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,224,,
46,275,275_multi_false.jpg,multi_false,,POSX0039|FAKE0040,POSX0039|FAKE0040,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,314,,
47,13,013_position.jpg,position,ASP-A01-B03-P01-L,,ASP-A01-B03-P01-L,ASP-A01-B03-P01-L,,ASP-A01-B03-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,342,,
48,101,101_item.jpg,item,ASI-JJ8LS5|8,,ASI-JJ8LS5|8,ASI-JJ8LS5|8,,,,ASI-JJ8LS5|8,ASI-JJ8LS5|8,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,246,,
49,215,215_multi_true.jpg,multi_true,ASP-A03-B05-P01-L|ASI-D9UQYQ|8,,ASP-A03-B05-P01-L|ASI-D9UQYQ|8,ASI-D9UQYQ|8,,ASP-A03-B05-P01-L,,ASI-D9UQYQ|8,ASI-D9UQYQ|8,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,345,,
50,102,102_item.jpg,item,ASI-NV3Z66|4,,ASI-NV3Z66|4,ASI-NV3Z66|4,,,,ASI-NV3Z66|4,ASI-NV3Z66|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,271,,
51,14,014_position.jpg,position,ASP-A01-B03-P01-R,,ASP-A01-B03-P01-R,ASP-A01-B03-P01-R,,ASP-A01-B03-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,380,,
52,103,103_item.jpg,item,ASI-RQEXBQ|72,,ASI-RQEXBQ|72,ASI-RQEXBQ|72,,,,ASI-RQEXBQ|72,ASI-RQEXBQ|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,239,,
53,246,246_multi_mixed.jpg,multi_mixed,ASP-A05-B02-P01-R,BAD0006,ASP-A05-B02-P01-R|BAD0006,,,ASP-A05-B02-P01-R,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,316,,missing=1
54,15,015_position.jpg,position,ASP-A01-B03-P02-L,,ASP-A01-B03-P02-L,ASP-A01-B03-P02-L,,ASP-A01-B03-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,255,,
55,104,104_item.jpg,item,ASI-QAEDQE|2,,ASI-QAEDQE|2,ASI-QAEDQE|2,,,,ASI-QAEDQE|2,ASI-QAEDQE|2,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,366,,
56,276,276_multi_false.jpg,multi_false,,X0041|BAD0042,X0041|BAD0042,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,347,,
57,105,105_item.jpg,item,ASI-XERT9P|60,,ASI-XERT9P|60,ASI-XERT9P|60,,,,ASI-XERT9P|60,ASI-XERT9P|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,273,,
58,16,016_position.jpg,position,ASP-A01-B03-P02-R,,ASP-A01-B03-P02-R,ASP-A01-B03-P02-R,,ASP-A01-B03-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,253,,
59,106,106_item.jpg,item,ASI-J8R84N|4,,ASI-J8R84N|4,ASI-J8R84N|4,,,,ASI-J8R84N|4,ASI-J8R84N|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,416,,
60,216,216_multi_true.jpg,multi_true,ASP-A03-B05-P01-R|ASI-SJGCV6|2,,ASP-A03-B05-P01-R|ASI-SJGCV6|2,ASI-SJGCV6|2,,ASP-A03-B05-P01-R,,ASI-SJGCV6|2,ASI-SJGCV6|2,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,316,,
61,107,107_item.jpg,item,ASI-G5Y547|2,,ASI-G5Y547|2,ASI-G5Y547|2,,,,ASI-G5Y547|2,ASI-G5Y547|2,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,229,,
62,247,247_multi_mixed.jpg,multi_mixed,ASI-GYZHTQ|30,POSX0007,ASI-GYZHTQ|30|POSX0007,ASI-GYZHTQ|30,,,,ASI-GYZHTQ|30,ASI-GYZHTQ|30,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,309,,
63,17,017_position.jpg,position,ASP-A01-B03-P03-L,,ASP-A01-B03-P03-L,ASP-A01-B03-P03-L,,ASP-A01-B03-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,351,,
64,108,108_item.jpg,item,ASI-GD3XGR|8,,ASI-GD3XGR|8,ASI-GD3XGR|8,,,,ASI-GD3XGR|8,ASI-GD3XGR|8,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,289,,
65,277,277_multi_false.jpg,multi_false,,POSX0043|FAKE0044,FAKE0044|POSX0043,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,366,,
66,18,018_position.jpg,position,ASP-A01-B03-P03-R,,ASP-A01-B03-P03-R,ASP-A01-B03-P03-R,,ASP-A01-B03-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,243,,
67,109,109_item.jpg,item,ASI-N6J5MT|36,,ASI-N6J5MT|36,ASI-N6J5MT|36,,,,ASI-N6J5MT|36,ASI-N6J5MT|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,327,,
68,110,110_item.jpg,item,ASI-RE6GDA|3,,ASI-RE6GDA|3,ASI-RE6GDA|3,,,,ASI-RE6GDA|3,ASI-RE6GDA|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,282,,
69,217,217_multi_true.jpg,multi_true,ASP-A03-B05-P02-L|ASI-ZJFUW4|6,,ASP-A03-B05-P02-L|ASI-ZJFUW4|6,ASI-ZJFUW4|6,,ASP-A03-B05-P02-L,,ASI-ZJFUW4|6,ASI-ZJFUW4|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,336,,
70,19,019_position.jpg,position,ASP-A01-B04-P01-L,,ASP-A01-B04-P01-L,ASP-A01-B04-P01-L,,ASP-A01-B04-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,253,,
71,111,111_item.jpg,item,ASI-RL498P|24,,ASI-RL498P|24,ASI-RL498P|24,,,,ASI-RL498P|24,ASI-RL498P|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,424,,
72,248,248_multi_mixed.jpg,multi_mixed,ASP-A05-B02-P02-L,FAKE0008,ASP-A05-B02-P02-L|FAKE0008,,,ASP-A05-B02-P02-L,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,330,,missing=1
73,112,112_item.jpg,item,ASI-DL2A2S|36,,ASI-DL2A2S|36,ASI-DL2A2S|36,,,,ASI-DL2A2S|36,ASI-DL2A2S|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,284,,
74,20,020_position.jpg,position,ASP-A01-B04-P01-R,,ASP-A01-B04-P01-R,ASP-A01-B04-P01-R,,ASP-A01-B04-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,234,,
75,113,113_item.jpg,item,ASI-U59KNU|8,,ASI-U59KNU|8,ASI-U59KNU|8,,,,ASI-U59KNU|8,ASI-U59KNU|8,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,435,,
76,278,278_multi_false.jpg,multi_false,,X0045|BAD0046,X0045|BAD0046,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,327,,
77,21,021_position.jpg,position,ASP-A01-B04-P02-L,,ASP-A01-B04-P02-L,ASP-A01-B04-P02-L,,ASP-A01-B04-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,382,,
78,114,114_item.jpg,item,ASI-DDWDD8|48,,ASI-DDWDD8|48,ASI-DDWDD8|48,,,,ASI-DDWDD8|48,ASI-DDWDD8|48,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,264,,
79,218,218_multi_true.jpg,multi_true,ASP-A03-B05-P02-R|ASI-NJZTLS|40,,ASP-A03-B05-P02-R|ASI-NJZTLS|40,ASI-NJZTLS|40,,ASP-A03-B05-P02-R,,ASI-NJZTLS|40,ASI-NJZTLS|40,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,391,,
80,115,115_item.jpg,item,ASI-LDFMEE|10,,ASI-LDFMEE|10,ASI-LDFMEE|10,,,,ASI-LDFMEE|10,ASI-LDFMEE|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,243,,
81,22,022_position.jpg,position,ASP-A01-B04-P02-R,,ASP-A01-B04-P02-R,ASP-A01-B04-P02-R,,ASP-A01-B04-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,313,,
82,116,116_item.jpg,item,ASI-3HRCF4|72,,ASI-3HRCF4|72,ASI-3HRCF4|72,,,,ASI-3HRCF4|72,ASI-3HRCF4|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,234,,
83,249,249_multi_mixed.jpg,multi_mixed,ASI-BTBMTV|18,X0009,ASI-BTBMTV|18|X0009,ASI-BTBMTV|18,,,,ASI-BTBMTV|18,ASI-BTBMTV|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,347,,
84,23,023_position.jpg,position,ASP-A01-B04-P03-L,,ASP-A01-B04-P03-L,ASP-A01-B04-P03-L,,ASP-A01-B04-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,261,,
85,117,117_item.jpg,item,ASI-WSPWRS|24,,ASI-WSPWRS|24,ASI-WSPWRS|24,,,,ASI-WSPWRS|24,ASI-WSPWRS|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,375,,
86,279,279_multi_false.jpg,multi_false,,POSX0047|FAKE0048,POSX0047|FAKE0048,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,338,,
87,118,118_item.jpg,item,ASI-JV7WEA|36,,ASI-JV7WEA|36,ASI-JV7WEA|36,,,,ASI-JV7WEA|36,ASI-JV7WEA|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,232,,
88,24,024_position.jpg,position,ASP-A01-B04-P03-R,,ASP-A01-B04-P03-R,ASP-A01-B04-P03-R,,ASP-A01-B04-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,315,,
89,119,119_item.jpg,item,ASI-GEPSJY|3,,ASI-GEPSJY|3,ASI-GEPSJY|3,,,,ASI-GEPSJY|3,ASI-GEPSJY|3,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,432,,
90,219,219_multi_true.jpg,multi_true,ASP-A03-B05-P03-L|ASI-UXH7EK|10,,ASP-A03-B05-P03-L|ASI-UXH7EK|10,ASI-UXH7EK|10,,ASP-A03-B05-P03-L,,ASI-UXH7EK|10,ASI-UXH7EK|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,387,,
91,120,120_item.jpg,item,ASI-RZUL6V|96,,ASI-RZUL6V|96,ASI-RZUL6V|96,,,,ASI-RZUL6V|96,ASI-RZUL6V|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,446,,
92,250,250_multi_mixed.jpg,multi_mixed,ASP-A05-B02-P02-R,BAD0010,ASP-A05-B02-P02-R|BAD0010,,,ASP-A05-B02-P02-R,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,347,,missing=1
93,25,025_position.jpg,position,ASP-A01-B05-P01-L,,ASP-A01-B05-P01-L,ASP-A01-B05-P01-L,,ASP-A01-B05-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,279,,
94,121,121_item.jpg,item,ASI-AVGJSH|4,,ASI-AVGJSH|4,ASI-AVGJSH|4,,,,ASI-AVGJSH|4,ASI-AVGJSH|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,240,,
95,280,280_multi_false.jpg,multi_false,,X0049|BAD0050,BAD0050|X0049,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,389,,
96,26,026_position.jpg,position,ASP-A01-B05-P01-R,,ASP-A01-B05-P01-R,ASP-A01-B05-P01-R,,ASP-A01-B05-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,270,,
97,122,122_item.jpg,item,ASI-KTUPXP|12,,ASI-KTUPXP|12,ASI-KTUPXP|12,,,,ASI-KTUPXP|12,ASI-KTUPXP|12,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,221,,
98,123,123_item.jpg,item,ASI-9SDF5T|2,,ASI-9SDF5T|2,ASI-9SDF5T|2,,,,ASI-9SDF5T|2,ASI-9SDF5T|2,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,341,,
99,220,220_multi_true.jpg,multi_true,ASP-A03-B05-P03-R|ASI-3ZF3AS|60,,ASP-A03-B05-P03-R|ASI-3ZF3AS|60,ASI-3ZF3AS|60,,ASP-A03-B05-P03-R,,ASI-3ZF3AS|60,ASI-3ZF3AS|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,424,,
100,27,027_position.jpg,position,ASP-A01-B05-P02-L,,ASP-A01-B05-P02-L,ASP-A01-B05-P02-L,,ASP-A01-B05-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,265,,
101,124,124_item.jpg,item,ASI-AXJSL6|60,,ASI-AXJSL6|60,ASI-AXJSL6|60,,,,ASI-AXJSL6|60,ASI-AXJSL6|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,412,,
